ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"01001000","Flensburg, krsfr. Stadt",6.5,54.2,20.3,14.3,319
"01002000","Kiel, krsfr. Stadt",5.2,54.5,29.1,14.5,262
"01003000","Lübeck, krsfr. Stadt",14.7,37.5,30.6,9.3,371
"01004000","Neumünster, krsfr. Stadt",4.3,51.4,38.3,10.1,459
"01051011","Brunsbüttel",0.1,22,45.5,5.7,1161
"01051044","Heide",5.5,34.7,53.4,8.6,507
"01051003","Averlak",4.1,7.1,74.5,2,1161
"01051010","Brickeln",9.5,10.9,76,6.8,3128
"01051012","Buchholz",6.2,8.5,77.3,3.7,1237
"01051016","Burg (Dithmarschen)",5.2,23.2,55,6.2,626
"01051022","Dingen",4.6,11.2,81.4,3.4,1257
"01051024","Eddelak",0.7,14.4,82.8,3.6,994
"01051026","Eggstedt",2.4,8.5,85.6,3.5,1436
"01051032","Frestedt",9.7,6.9,81,3.2,2047
"01051037","Großenrade",14.5,8.2,73.9,4,1874
"01051051","Hochdonn",9.6,20.6,54.2,6.3,1065
"01051064","Kuden",7.1,8.8,75,3.9,1657
"01051089","Quickborn",53.7,8.6,37.2,5.4,3143
"01051097","Sankt Michaelisdonn",5.6,20,70.8,6.8,1359
"01051110","Süderhastedt",6.3,8.1,83.1,3.9,1691
"01051021","Diekhusen-Fahrstedt",0.1,10.3,87.6,3.7,1126
"01051034","Friedrichskoog",0,8.6,74.2,3,1799
"01051046","Helse",1,10.5,86.1,3.9,1453
"01051057","Kaiser-Wilhelm-Koog",0,6.7,78.5,2.3,2500
"01051062","Kronprinzenkoog",0,6.7,82.5,2.7,2416
"01051072","Marne",0,62.4,35.9,10.9,507
"01051073","Marnerdeich",0,19.4,77.8,3.7,639
"01051076","Neufeld",0,9.1,89.2,3.7,1599
"01051077","Neufelderkoog",0,5.2,90.4,2.6,4265
"01051090","Ramhusen",0.6,7.9,88.8,3.3,2570
"01051103","Schmedeswurth",0.2,8.2,89.8,3.3,2721
"01051118","Trennewurth",0,7.5,90.3,3.1,2315
"01051119","Volsemenhusen",0,6.8,91.2,3.2,3466
"01051005","Barkenholm",0.8,6.8,81.3,2.6,2144
"01051008","Bergewöhrden",1.3,4.6,81.5,1.8,3353
"01051019","Dellstedt",0.8,6,77.5,2.8,1788
"01051020","Delve",0.3,6.8,75.2,3.1,1471
"01051023","Dörpling",1.2,10.5,69.3,3.9,1322
"01051030","Fedderingen",1.3,6.3,85.3,3.2,2170
"01051035","Gaushorn",8.3,9.4,73.7,3.2,3511
"01051036","Glüsing",4.6,10.2,80,4,4327
"01051038","Groven",0,6.1,88.3,2.8,5756
"01051047","Hemme",0.1,9.4,87.6,4.9,3151
"01051049","Hennstedt",1.9,14.9,73.4,3.4,1657
"01051052","Hövede",2.9,6.8,81.2,3.7,3344
